# x y z bx by bz
 0.02 0 9.57239 0.00308202 0 -3.1494
 0.02 0 9.58239 0.00340016 0 -3.15252
 0.02 0 9.59239 0.00355379 0 -3.15589
 0.02 0 9.60239 0.00382155 0 -3.15989
 0.02 0 9.61239 0.00415934 0 -3.16397
 0.02 0 9.62239 0.00426569 0 -3.16816
 0.02 0 9.63239 0.00421968 0 -3.17247
 0.02 0 9.64239 0.00422327 0 -3.17682
 0.02 0 9.65239 0.00410083 0 -3.18097
 0.02 0 9.66239 0.00384067 0 -3.18499
 0.02 0 9.67239 0.00353334 0 -3.18887
 0.02 0 9.68239 0.00375703 0 -3.19236
 0.02 0 9.69239 0.00305835 0 -3.1954
 0.02 0 9.70239 0.00219599 0 -3.19817
 0.02 0 9.71239 0.0017247 0 -3.20026
 0.02 0 9.72239 0.00120407 0 -3.20216
 0.02 0 9.73239 0.00121226 0 -3.20346
 0.02 0 9.74239 0.000423669 0 -3.20359
 0.02 0 9.75239 -0.000673839 0 -3.20331
 0.02 0 9.76239 -0.00137242 0 -3.20246
 0.02 0 9.77239 -0.00161472 0 -3.20103
 0.02 0 9.78239 -0.00248523 0 -3.19923
 0.02 0 9.79239 -0.00348521 0 -3.19623
 0.02 0 9.80239 -0.00374178 0 -3.19261
 0.02 0 9.81239 -0.004374 0 -3.18834
 0.02 0 9.82239 -0.00514456 0 -3.1837
 0.02 0 9.83239 -0.00568362 0 -3.17869
 0.02 0 9.84239 -0.00593819 0 -3.17261
 0.02 0 9.85239 -0.00649684 0 -3.16608
 0.02 0 9.86239 -0.00706494 0 -3.15937
 0.02 0 9.87239 -0.00736707 0 -3.15209
 0.02 0 9.88239 -0.00770343 0 -3.14462
 0.02 0 9.89239 -0.00784961 0 -3.13696
 0.02 0 9.90239 -0.00795322 0 -3.12887
 0.02 0 9.91239 -0.00815824 0 -3.12068
 0.02 0 9.92239 -0.00828475 0 -3.11247
 0.02 0 9.93239 -0.00819252 0 -3.10421
 0.02 0 9.94239 -0.0081338 0 -3.09596
 0.02 0 9.95239 -0.00813349 0 -3.08783
 0.02 0 9.96239 -0.00797255 0 -3.07985
